sku,name,era,status,notes
BA2037-089,Elephant / Black,Gen 1 (Year Zero),In Collection,First sold publicly. High-contrast grey print on black base. Elephant print is the dominant visual element.
BA2037-222,Elephant / Tan,Gen 1 (Year Zero),In Collection,The "Earth Tone" foundational piece. Specimen missing external skate straps. Features prominent tonal elephant texture.
BA2049-089,Elephant / Black,Gen 2,In Collection,The final iteration of the Elephant Era. (2 specimens held). Maintains the dominant print legacy.
BA5403-010,Black / Black,OG / BA,Confirmed,The classic. White Nike SB patch.
BA5971-014,Black / Black,Late BA,Confirmed,Updated matte black hardware.
FD7544-010,Black / White,Modern / FD,Confirmed,Recycled materials. Sportswear branding.
FD7544-338,Vintage Green,Modern / FD,Confirmed,Earth tone release.
FD7544-540,Cave Purple,Modern / FD,Rare,Rare purple variant.
BA5404-223,Iguana / Black,OG,Confirmed,Desert Camo style.
CK5888-010,Black Camo,CK Era,Confirmed,Dark camouflage print.
DH3069-010,World Tour,DH Era,Confirmed,Black with neon details.
DR6426-482,Doernbecher (Catalina),DR Era,Grail,Catalina / Cookie theme. Highly limited.
FD9686-405,Doernbecher (Coley),FD Era,Grail,Blue graphics basket weave print.
